Year,GDP_Billion_USD,Growth_%,Population_Million,Inflation_%,GDP_Per_Capita
1924,52.68,5.37,304.46,4.48,173.04
1925,55.97,6.24,307.81,2.33,181.84
1926,60.18,7.53,312.09,6.54,192.84
1927,63.91,6.19,317.45,5.73,201.32
1928,65.58,2.62,321.04,3.75,204.28
1929,70.5,7.5,323.4,6.11,218.01
1930,73.92,4.85,326.87,2.33,226.15
1931,78.32,5.95,332.08,4.86,235.85
1932,81.34,3.85,338.33,2.99,240.41
1933,83.07,2.13,342.08,6.76,242.83
1934,87.23,5.0,345.36,5.02,252.56
1935,93.02,6.64,349.87,3.32,265.87
1936,96.75,4.01,356.42,6.16,271.45
1937,102.14,5.57,361.66,3.52,282.42
1938,105.47,3.26,364.3,2.77,289.52
1939,108.92,3.27,369.67,3.12,294.65
1940,114.39,5.02,376.81,5.73,303.57
1941,123.01,7.54,379.55,5.56,324.09
1942,125.71,2.2,385.59,4.55,326.02
1943,128.6,2.3,387.96,4.99,331.48
1944,138.81,7.94,391.22,5.43,354.81
1945,149.82,7.93,397.18,3.99,377.2
1946,156.22,4.27,401.5,6.39,389.09
1947,158.98,1.77,408.06,3.99,389.62
1948,166.33,4.62,410.72,6.79,404.98
1949,171.87,3.33,417.62,7.0,411.54
1950,175.5,2.11,421.33,3.49,416.53
1951,188.31,7.3,428.59,3.86,439.37
1952,202.89,7.74,433.97,6.55,467.52
1953,214.32,5.63,437.69,5.9,489.67
1954,226.02,5.46,445.88,5.02,506.9
1955,238.94,5.72,451.8,4.75,528.87
1956,245.82,2.88,458.56,6.68,536.07
1957,250.91,2.07,463.97,3.36,540.79
1958,264.57,5.45,468.25,3.02,565.03
1959,285.38,7.87,473.45,6.55,602.78
1960,306.14,7.27,477.07,6.19,641.7
1961,319.66,4.42,485.23,5.28,658.77
1962,344.67,7.82,494.37,5.87,697.19
1963,367.21,6.54,498.38,6.73,736.8
1964,384.98,4.84,502.37,6.8,766.32
1965,400.14,3.94,505.09,2.36,792.22
1966,431.33,7.8,512.87,5.99,841.02
1967,461.64,7.03,523.07,6.0,882.55
1968,491.81,6.54,532.47,2.95,923.63
1969,514.67,4.65,535.54,6.84,961.04
1970,524.53,1.92,544.96,2.65,962.51
1971,544.93,3.89,548.7,3.35,993.13
1972,585.38,7.42,555.02,2.93,1054.7
1973,596.3,1.86,565.15,5.65,1055.12
1974,610.55,2.39,571.95,5.01,1067.49
1975,656.13,7.47,578.56,5.46,1134.08
1976,693.32,5.67,586.56,6.38,1182.02
1977,710.54,2.48,596.96,5.84,1190.26
1978,758.57,6.76,601.11,3.95,1261.95
1979,778.53,2.63,613.09,2.84,1269.84
1980,807.54,3.73,621.27,4.6,1299.83
1981,849.06,5.14,624.43,2.27,1359.73
1982,897.32,5.68,630.01,2.7,1424.31
1983,945.04,5.32,637.09,3.3,1483.38
1984,1012.0,7.08,647.33,5.52,1563.35
1985,1027.88,1.57,659.24,4.0,1559.19
1986,1084.98,5.55,668.91,6.34,1622.0
1987,1149.5,5.95,674.2,3.98,1704.98
1988,1191.95,3.69,684.17,6.87,1742.2
1989,1285.99,7.89,697.19,5.15,1844.54
1990,1316.11,2.34,706.81,3.11,1862.04
1991,1336.76,1.57,713.16,4.74,1874.43
1992,1382.16,3.4,727.05,6.25,1901.07
1993,1442.17,4.34,737.86,4.41,1954.53
1994,1484.92,2.96,749.9,4.72,1980.16
1995,1528.88,2.96,759.06,5.31,2014.17
1996,1565.0,2.36,769.1,6.84,2034.85
1997,1614.05,3.13,777.84,6.82,2075.04
1998,1652.0,2.35,784.2,6.43,2106.6
1999,1745.99,5.69,795.08,5.84,2195.99
2000,1798.6,3.01,804.81,2.57,2234.82
2001,1929.96,7.3,818.6,5.1,2357.63
2002,2036.57,5.52,828.17,5.23,2459.12
2003,2110.94,3.65,836.35,2.62,2523.98
2004,2160.92,2.37,849.54,5.88,2543.63
2005,2299.77,6.43,856.64,5.8,2684.64
2006,2352.99,2.31,862.47,2.41,2728.21
2007,2486.97,5.69,870.73,6.31,2856.17
2008,2673.0,7.48,886.85,4.68,3014.04
2009,2866.48,7.24,898.81,6.14,3189.19
2010,3052.31,6.48,913.01,4.71,3343.12
2011,3127.54,2.46,917.76,2.43,3407.79
2012,3231.67,3.33,930.43,5.74,3473.32
2013,3295.19,1.97,943.87,5.23,3491.14
2014,3509.72,6.51,952.0,5.77,3686.68
2015,3562.99,1.52,957.05,6.14,3722.87
2016,3678.03,3.23,968.97,5.73,3795.8
2017,3911.42,6.35,977.69,3.22,4000.66
2018,4144.69,5.96,989.52,5.05,4188.59
2019,4313.57,4.07,1000.28,3.9,4312.37
2020,4578.04,6.13,1015.86,2.41,4506.56
2021,4889.72,6.81,1028.7,4.38,4753.29
2022,5127.84,4.87,1038.51,5.35,4937.71
2023,5217.73,1.75,1059.27,5.67,4925.81
